site,thedate,type,taskcode,Calcium,Magnesium,Potassium,Sodium,CHLORIDE (AS Cl),"Chloride, Calculated",Hardness (As CaCO3),Salinity (from sodium),Specific Conductivity,Total Dissolved Solids
S01,2017-09-07T13:37:00Z,N,Stormwater,NA,NA,NA,NA,NA,165.005,NA,NA,615,NA
S01,2017-09-07T12:44:00Z,N,Stormwater,NA,NA,NA,NA,160,NA,NA,NA,NA,NA
S01,2017-09-07T04:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,89,NA,NA,NA
S01,2010-10-01T16:00:00Z,N,Stormwater,NA,NA,NA,NA,40,NA,NA,NA,NA,NA
S01,2012-10-11T15:07:00Z,N,Stormwater,NA,NA,NA,NA,120,63.6884,NA,0,258,0
S01,2010-10-15T09:20:00Z,N,Stormwater,NA,NA,NA,NA,30,NA,NA,NA,NA,NA
S01,2014-10-17T09:20:00Z,N,Stormwater,1,1,NA,NA,120,183.1682,1,NA,679,NA
S01,2010-10-21T13:25:00Z,N,Baseflow,NA,NA,NA,NA,250,NA,NA,NA,NA,NA
S01,2011-10-25T11:20:00Z,N,Stormwater,NA,NA,NA,NA,200,252.983,1,NA,925,0
S01,2012-10-25T15:20:00Z,N,Baseflow,NA,NA,NA,NA,220,NA,1,NA,NA,NA
S01,2010-10-06T13:15:00Z,N,Stormwater,NA,NA,NA,NA,48,NA,NA,NA,NA,NA
S01,2014-10-06T10:05:00Z,N,Stormwater,1,1,NA,NA,150,162.4508,1,NA,606,NA
