site,thedate,type,taskcode,Aluminum,Antimony,Arsenic,Barium,Beryllium,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Manganese,Mercury,Nickel,Selenium,Silver,Thallium,Vanadium,Zinc
S01,2017-03-01T10:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2017-03-01T10:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-03-13T11:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.00268,NA,7.5e-4,NA,NA,0.0018600000000000001,NA,NA,NA,NA,0.03752
S01,2019-03-13T15:38:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2019-03-13T15:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2019-03-13T15:41:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-03-14T09:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,NA,4e-4,NA,NA,0.0023,NA,NA,NA,NA,0.0252
S01,2014-03-14T12:55:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,0.0013,NA,NA,0.0045,NA,NA,NA,NA,0.0426
S01,2014-03-14T12:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,0.0013,NA,NA,0.0046,NA,NA,NA,NA,0.0364
S01,2019-03-15T14:37:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2019-03-15T14:38:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-03-16T13:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,7e-4,NA,NA,0.0024,NA,NA,NA,NA,0.0311
S01,2012-03-16T13:55:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-03-16T13:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.0022,NA,6e-4,NA,NA,0.0025,NA,NA,NA,NA,0.0275
S01,2017-03-17T12:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2017-03-17T12:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2017-03-17T12:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2014-03-20T13:40:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,0.0059,NA,0.0022,NA,NA,0.0052,NA,NA,NA,NA,0.0601
S01,2014-03-20T13:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA,1.4e-4,NA,NA,0.006,NA,0.0022,NA,NA,0.0051,NA,NA,NA,NA,0.0482
