site,thedate,type,taskcode,Oxidation-Reduction Potential,pH,Turbidity,Dissolved Oxygen,Dissolved Oxygen Saturation
S01,2011-09-12T11:35:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2011-09-12T11:35:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-12T10:35:00Z,N,Stormwater,113,7.58,4.2,5.45,0.578
S01,2016-09-12T10:40:00Z,N,Stormwater,105,7.5,3.78,5.83,0.623
S01,2016-09-12T10:45:00Z,N,Stormwater,97,7.49,3.74,5.27,0.564
S01,2013-09-13T11:40:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2013-09-13T11:40:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2013-09-13T11:45:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2013-09-13T11:45:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-18T09:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-19T09:15:00Z,N,Stormwater,NA,NA,NA,8.3,88
S01,2018-09-19T09:16:00Z,N,Stormwater,NA,NA,NA,8.17,86.8
S01,2018-09-19T09:17:00Z,N,Stormwater,NA,NA,NA,8.13,86.3
S01,2018-09-19T09:22:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2010-09-28T08:45:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-07T10:01:00Z,N,Stormwater,164,NA,6.3,4.02,NA
S01,2012-09-07T10:05:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-07T10:05:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-09-07T13:25:00Z,N,Stormwater,NA,NA,NA,8.77,92
S01,2017-09-07T13:28:00Z,N,Stormwater,NA,NA,NA,8.51,89.4
S01,2017-09-07T13:37:00Z,N,Stormwater,NA,NA,NA,8.34,88.1
S01,2017-09-07T12:44:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-09-07T04:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2010-10-01T16:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-10-11T15:07:00Z,N,Stormwater,1,NA,1,4.88,NA
S01,2010-10-15T09:20:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-17T09:20:00Z,N,Stormwater,1,1,1,8.39,NA
S01,2010-10-21T13:25:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-10-25T11:20:00Z,N,Stormwater,1,1,1,5.51,NA
S01,2012-10-25T15:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2010-10-06T13:15:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-06T10:05:00Z,N,Stormwater,1,1,0,8.48,NA
S01,2010-11-15T13:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-11-29T07:55:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-11-30T09:35:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-11-09T14:40:00Z,N,Baseflow,1,NA,1,6.15,NA
S01,2012-02-17T10:00:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T12:00:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T12:07:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-02-19T12:15:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2018-02-21T16:02:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T16:04:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T16:05:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T16:06:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T09:29:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T09:32:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T09:35:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T09:37:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-01T13:30:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-03-01T13:35:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-01T13:40:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2013-03-13T12:30:00Z,N,Spring Melt,NA,NA,NA,12.79,NA
S01,2019-03-13T16:19:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-13T16:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-14T10:20:00Z,N,Spring Melt,1,NA,1,7.5,NA
S01,2014-03-14T13:57:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-15T15:10:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-15T15:11:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-16T14:35:00Z,N,Spring Melt,1,NA,1,6.9,NA
S01,2017-03-17T14:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-17T14:45:00Z,N,Spring Melt,1,1,1,13.7,94.8
S01,2017-03-17T14:50:00Z,N,Spring Melt,1,1,1,13.65,94.4
S01,2014-03-20T14:13:00Z,N,Spring Melt,1,1,1,10.58,NA
S01,2012-03-22T10:00:00Z,N,Spring Melt,1,NA,1,6.34,NA
S01,2011-03-24T09:55:00Z,N,Baseflow,1,1,1,13.79,NA
S01,2019-03-24T17:14:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-24T17:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-28T13:05:00Z,N,Spring Melt,1,1,1,10.28,NA
S01,2014-03-28T13:45:00Z,N,Spring Melt,1,1,0,9.6,NA
S01,2018-03-28T17:12:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T17:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T17:18:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T17:19:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-29T08:57:00Z,N,Spring Melt,NA,NA,NA,14.81,110.9
S01,2019-03-29T09:00:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2011-03-31T09:30:00Z,N,Baseflow,1,1,1,13.89,NA
S01,2013-03-06T12:50:00Z,N,Spring Melt,1,NA,1,12.34,NA
S01,2018-03-06T14:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T14:21:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T14:22:00Z,N,Spring Melt,NA,NA,NA,NA,NA
